title,movieId,rating
The Fast and the Furious: Tokyo Drift,46335,4.5
The Expendables 3,112897,3.5
Night at the Museum: Secret of the Tomb,119155,
Underworld: Awakening,91974,
Paper Towns,128512,
The World Is Not Enough,3082,
Flushed Away,48982,
Freaky Friday,6593,
John Carter,93363,
Hot Tub Time Machine,76077,
Anchorman 2: The Legend Continues,107348,
Tomorrow Never Dies,1722,
The Interview,119141,
300: Rise of an Empire,109673,
Johnny English Reborn,90522,
Casper,158,
Taken 2,96861,
The Expendables 2,91485,
Get Smart,60126,
Quantum of Solace,63113,
The Incredible Hulk,60040,
Under the Skin,109848,
Transformers: Dark of the Moon,87520,3
American Wedding,6586,
Death Race,61248,
Predators,79057,
Antz,2294,
Robots,32031,
American Pie 2,4718,
The Visit,140523,
Mama,99912,
Monsters vs Aliens,67408,
The Huntsman: Winter's War,156607,
Final Destination 5,88932,
The Legend of Zorro,39435,
Bedtime Stories,65088,
Saw IV,55577,
The Tourist,82202,
Grown Ups,79134,
Get Hard,131013,
Pan,130450,
The Host,101577,
Hitman,56156,
Austin Powers in Goldmember,5481,
Waterworld,208,
Shrek Forever After,78637,
Final Destination 2,6058,
Percy Jackson & the Olympians: The Lightning Thief,74530,
Click,45672,
The Mummy Returns,4270,
Shrek the Third,53121,
Date Night,76293,
Jack Ryan: Shadow Recruit,108188,
Trainwreck,134393,
Surrogates,71530,
How to Be Single,148956,
The Bourne Legacy,91535,
The Expendables,79695,
San Andreas,132796,
Paranormal Activity,71379,
47 Ronin,106491,
Men in Black II,5459,
Transformers: Revenge of the Fallen,69526,3.5
Alien: Resurrection,1690,
The Grudge,8947,
This Means War,93326,
Happy Feet,49274,4
Scary Movie 3,6888,
What Happens in Vegas,59421,
Knowing,67197,
Tower Heist,90717,
Knight and Day,79185,
Stuart Little,3157,
I Am Number Four,85056,
Teenage Mutant Ninja Turtles: Out of the Shadows,159690,
Final Destination 3,43679,
Sucker Punch,85510,
Percy Jackson: Sea of Monsters,104074,
Don Jon,105213,
Journey 2: The Mysterious Island,92681,
The Dictator,94677,
Jumper,58025,
Die Another Day,5872,
The Boy,151639,
Mission: Impossible II,3623,
Night at the Museum: Battle of the Smithsonian,68793,
Grown Ups 2,104218,
Terminator 3: Rise of the Machines,6537,
Transcendence,110730,
The Lone Ranger,103384,
Jason Bourne,160438,
Immortals,90888,
Hostel,42723,
The Golden Compass,56171,
Journey to the Center of the Earth,60514,
Terminator Salvation,68791,
Resident Evil: Afterlife,80363,
xXx,5507,
Carrie,105731,
A Million Ways to Die in the West,111743,
The Sorcerer's Apprentice,79139,
The Monuments Men,108928,
Valentine's Day,74450,
Shark Tale,8907,
London Has Fallen,152079,
The Secret Life of Pets,135436,
Spider-Man 3,52722,
The League of Extraordinary Gentlemen,6541,
Bee Movie,55768,
Only God Forgives,102684,
This Is 40,99117,
Blade: Trinity,8985,
Cars 2,87876,4
Red Riding Hood,85397,
The Three Musketeers,90403,
Alexander,8977,
"Hail, Caesar!",143859,
Chicken Little,40339,
The Last Witch Hunter,135532,
Abduction,90524,
The Twilight Saga: Eclipse,78772,
Beautiful Creatures,100487,
Suicide Squad,135536,3.5
Teenage Mutant Ninja Turtles,113348,
Spy Kids,4232,
Transformers: Age of Extinction,112370,3.5
Snow White and the Huntsman,94780,
Charlie's Angels,3977,
Twilight,63992,
Planet of the Apes,4643,
Jurassic Park III,4638,
Lara Croft: Tomb Raider,4367,
You Don't Mess with the Zohan,59900,
Neighbors 2: Sorority Rising,156609,
Dark Shadows,94478,
RoboCop,108945,
Mirror Mirror,94015,
Indiana Jones and the Kingdom of the Crystal Skull,59615,
Resident Evil: Retribution,96691,
Alvin and the Chipmunks,56176,
The Smurfs,88356,
Identity Thief,100390,
Into the Woods,118997,
Hercules,112911,
AVP: Alien vs. Predator,8810,
The Green Hornet,83349,
Scary Movie 2,4388,
Abraham Lincoln: Vampire Hunter,95207,
Hansel & Gretel: Witch Hunters,100163,
Exodus: Gods and Kings,116887,
G.I. Joe: The Rise of Cobra,70336,
Oz: The Great and Powerful,101112,
Little Fockers,82852,
Lara Croft Tomb Raider: The Cradle of Life,6564,
Wrath of the Titans,93766,
The Watch,95720,
Battle: Los Angeles,85131,
Dumb and Dumber To,116977,
Clash of the Titans,76175,
Noah,110127,
The Twilight Saga: New Moon,72407,
Pixels,135137,
R.I.P.D.,103655,
Batman v Superman: Dawn of Justice,136864,
Superman Returns,46530,
Charlie's Angels: Full Throttle,6503,
Evan Almighty,53993,
Battleship,94018,
Seventh Son,119655,
Bad Teacher,87485,
The Legend of Tarzan,160563,
The Day the Earth Stood Still,64497,
2012,72378,5
Jack the Giant Slayer,101025,
Hulk,6534,
Wild Wild West,2701,
Sex Tape,112788,
The Mummy: Tomb of the Dragon Emperor,60937,4
4: Rise of the Silver Surfer,53464,
Batman Forever,153,
G.I. Joe: Retaliation,101076,
Ghostbusters,160080,
The Happening,60037,
Ghost Rider,51077,
Eragon,49649,
Ouija,115534,
Spring Breakers,101285,
Jupiter Ascending,113345,
Fifty Shades of Grey,125916,
A Good Day to Die Hard,100498,
Green Lantern,87430,
Ghost Rider: Spirit of Vengeance,92938,
The Last Airbender,78893,
After Earth,102880,
Independence Day: Resurgence,135567,
The Boy Next Door,128592,
Batman & Robin,1562,
Fantastic Four,122902,
The American President,11,
Nixon,14,
Cutthroat Island,15,
Sense and Sensibility,17,
Four Rooms,18,
Money Train,20,
Get Shorty,21,
Copycat,22,
Assassins,23,
Leaving Las Vegas,25,
Babe,34,
Dead Man Walking,36,
Clueless,39,
Richard III,41,
Mortal Kombat,44,
To Die For,45,
Home for the Holidays,57,
